"table","field","r_type","description"
"finite_vs_x_observed_summary.csv","event_blocks","integer","Number of represented leakage-control event-block random-effect levels; counts below 20 are suppressed."
"finite_vs_x_observed_summary.csv","observer_clusters","integer","Number of represented privacy-safe observer-cluster levels; counts below 20 are suppressed."
"finite_vs_x_observed_summary.csv","generalized_locations","integer","Number of represented generalized-location random-effect levels; counts below 20 are suppressed."
"finite_vs_x_results.csv","analysis_version","character","Version identifier for the analysis that produced the row."
"finite_vs_x_results.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"finite_vs_x_results.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"finite_vs_x_results.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"finite_vs_x_results.csv","comparison","character","Compound timing contrast: A14 active-minus-pre14 or secondary A7 active-minus-pre7."
"finite_vs_x_results.csv","primary_comparison","logical","TRUE for the frozen primary A14 comparison."
"finite_vs_x_results.csv","active_estimate","numeric","Duration-weighted active-period baseline-adjusted near/reference estimate on the link scale."
"finite_vs_x_results.csv","active_standard_error","numeric","Standard error of active_estimate from the full fixed-effect covariance matrix."
"finite_vs_x_results.csv","pre_estimate","numeric","Pre-onset baseline-adjusted near/reference estimate on the link scale."
"finite_vs_x_results.csv","pre_standard_error","numeric","Standard error of pre_estimate from the full fixed-effect covariance matrix."
"finite_vs_x_results.csv","active_pre_covariance","numeric","Estimated covariance between the active and pre compound contrasts."
"finite_vs_x_results.csv","estimate","numeric","Compound contrast estimate on the fitted link scale, or the named absolute prediction quantity."
"finite_vs_x_results.csv","standard_error","numeric","Standard error of estimate."
"finite_vs_x_results.csv","conf_low","numeric","Lower bound of the two-sided 95% confidence interval."
"finite_vs_x_results.csv","conf_high","numeric","Upper bound of the two-sided 95% confidence interval."
"finite_vs_x_results.csv","ratio","numeric","Exponentiated link-scale contrast estimate."
"finite_vs_x_results.csv","ratio_conf_low","numeric","Lower 95% confidence bound after exponentiation."
"finite_vs_x_results.csv","ratio_conf_high","numeric","Upper 95% confidence bound after exponentiation."
"finite_vs_x_results.csv","p_value","numeric","Two-sided Wald p-value; blank when the model or contrast is not estimable."
"finite_vs_x_results.csv","q_value","numeric","Benjamini-Hochberg adjusted p-value within the stated outcome-by-comparison family."
"finite_vs_x_results.csv","n","integer","Privacy-safe number of rows used by the fitted model; counts below 20 are suppressed."
"finite_vs_x_results.csv","full_covariance_used","logical","Whether all fixed-effect variance and covariance terms were used for the compound contrast."
"finite_vs_x_results.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"finite_vs_x_results.csv","multiplicity_family","character","Exact family within which BH adjustment was applied."
"absolute_predictions.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"absolute_predictions.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"absolute_predictions.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"absolute_predictions.csv","prediction_configuration","character","Standardized profile or observed-covariate standardization."
"absolute_predictions.csv","quantity","character","Named predicted level or compound absolute-scale contrast."
"absolute_predictions.csv","estimate","numeric","Compound contrast estimate on the fitted link scale, or the named absolute prediction quantity."
"absolute_predictions.csv","conf_low","numeric","Lower bound of the two-sided 95% confidence interval."
"absolute_predictions.csv","conf_high","numeric","Upper bound of the two-sided 95% confidence interval."
"absolute_predictions.csv","interval_method","character","Method used to propagate fixed-effect covariance to the 95% interval."
"absolute_predictions.csv","random_effect_handling","character","How random effects were treated in prediction."
"absolute_predictions.csv","covariate_handling","character","Values or distribution used for non-exposure covariates."
"absolute_predictions.csv","population","character","Population to which the prediction configuration applies."
"model_diagnostics.csv","analysis_version","character","Version identifier for the analysis that produced the row."
"model_diagnostics.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"model_diagnostics.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"model_diagnostics.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"model_diagnostics.csv","engine","character","Model-fitting engine, likelihood family, and approximation."
"model_diagnostics.csv","n","integer","Privacy-safe number of rows used by the fitted model; counts below 20 are suppressed."
"model_diagnostics.csv","event_blocks","integer","Number of represented leakage-control event-block random-effect levels; counts below 20 are suppressed."
"model_diagnostics.csv","observer_clusters","integer","Number of represented privacy-safe observer-cluster levels; counts below 20 are suppressed."
"model_diagnostics.csv","generalized_locations","integer","Number of represented generalized-location random-effect levels; counts below 20 are suppressed."
"model_diagnostics.csv","converged","logical","Whether the fitted model met the repository convergence classification."
"model_diagnostics.csv","singular_fit","logical","Whether one or more fitted random-effect variance components were on the boundary at tolerance 1e-4."
"model_diagnostics.csv","rank_deficient","logical","Whether the fixed-effect model matrix lost rank."
"model_diagnostics.csv","optimizer_code","integer","Native optimizer return code; zero means the optimizer completed."
"model_diagnostics.csv","convergence_message","character","Truncated optimizer or lme4 convergence message."
"model_diagnostics.csv","maximum_absolute_gradient","numeric","Maximum absolute raw derivative component reported by the fitted model."
"model_diagnostics.csv","event_block_variance","numeric","Estimated variance of the event-block random intercept."
"model_diagnostics.csv","observer_variance","numeric","Estimated variance of the observer-cluster random intercept."
"model_diagnostics.csv","location_variance","numeric","Estimated variance of the generalized-location random intercept."
"model_diagnostics.csv","residual_variance","numeric","Estimated residual variance for the log-Gaussian count model; blank for binomial models."
"model_diagnostics.csv","reproduction_max_abs_estimate_difference","numeric","Maximum absolute difference from matching frozen historical component estimates."
"model_diagnostics.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"model_term_support.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"model_term_support.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"model_term_support.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"model_term_support.csv","term","character","Joint period-by-zone exposure predictor name."
"model_term_support.csv","exposed_rows","integer","Model rows with a positive value of the named exposure term; counts below 20 are suppressed."
"model_term_support.csv","finite_numeric_rows","logical","Finite-numeric model rows exposed in the named term; counts below 20 are suppressed."
"model_term_support.csv","unquantified_x_rows","logical","Unquantified-X model rows exposed in the named term; counts below 20 are suppressed."
"event_block_influence_support.csv","checklist_support_bin","character","Outcome-blind bin of eligible-checklist support per event block."
"event_block_influence_support.csv","event_blocks","integer","Number of represented leakage-control event-block random-effect levels; counts below 20 are suppressed."
"event_block_influence_support.csv","checklists","integer","Privacy-safe number of eligible checklists in the category."
"event_block_influence_support.csv","influence_basis","character","Statement that block influence potential uses support only and no response inspection."
"sensitivity_comparisons.csv","analysis_version","character","Version identifier for the analysis that produced the row."
"sensitivity_comparisons.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"sensitivity_comparisons.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"sensitivity_comparisons.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"sensitivity_comparisons.csv","comparison","character","Compound timing contrast: A14 active-minus-pre14 or secondary A7 active-minus-pre7."
"sensitivity_comparisons.csv","primary_comparison","logical","TRUE for the frozen primary A14 comparison."
"sensitivity_comparisons.csv","active_estimate","numeric","Duration-weighted active-period baseline-adjusted near/reference estimate on the link scale."
"sensitivity_comparisons.csv","active_standard_error","numeric","Standard error of active_estimate from the full fixed-effect covariance matrix."
"sensitivity_comparisons.csv","pre_estimate","numeric","Pre-onset baseline-adjusted near/reference estimate on the link scale."
"sensitivity_comparisons.csv","pre_standard_error","numeric","Standard error of pre_estimate from the full fixed-effect covariance matrix."
"sensitivity_comparisons.csv","active_pre_covariance","numeric","Estimated covariance between the active and pre compound contrasts."
"sensitivity_comparisons.csv","estimate","numeric","Compound contrast estimate on the fitted link scale, or the named absolute prediction quantity."
"sensitivity_comparisons.csv","standard_error","numeric","Standard error of estimate."
"sensitivity_comparisons.csv","conf_low","numeric","Lower bound of the two-sided 95% confidence interval."
"sensitivity_comparisons.csv","conf_high","numeric","Upper bound of the two-sided 95% confidence interval."
"sensitivity_comparisons.csv","ratio","numeric","Exponentiated link-scale contrast estimate."
"sensitivity_comparisons.csv","ratio_conf_low","numeric","Lower 95% confidence bound after exponentiation."
"sensitivity_comparisons.csv","ratio_conf_high","numeric","Upper 95% confidence bound after exponentiation."
"sensitivity_comparisons.csv","p_value","numeric","Two-sided Wald p-value; blank when the model or contrast is not estimable."
"sensitivity_comparisons.csv","n","integer","Privacy-safe number of rows used by the fitted model; counts below 20 are suppressed."
"sensitivity_comparisons.csv","full_covariance_used","logical","Whether all fixed-effect variance and covariance terms were used for the compound contrast."
"sensitivity_comparisons.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"sensitivity_comparisons.csv","multiplicity_family","character","Exact family within which BH adjustment was applied."
"sensitivity_comparisons.csv","sensitivity_id","character","Frozen identifier for the exposure encoding or cohort restriction."
"sensitivity_comparisons.csv","sensitivity_q_value","numeric","BH-adjusted p-value within the sensitivity, outcome, and comparison family."
"sensitivity_comparisons.csv","primary_estimate","numeric","Matching primary A14/A7 link-scale estimate."
"sensitivity_comparisons.csv","primary_standard_error","numeric","Standard error of the matching primary estimate."
"sensitivity_comparisons.csv","primary_conf_low","numeric","Lower 95% confidence bound for the matching primary estimate."
"sensitivity_comparisons.csv","primary_conf_high","numeric","Upper 95% confidence bound for the matching primary estimate."
"sensitivity_comparisons.csv","primary_ratio","numeric","Exponentiated matching primary estimate."
"sensitivity_comparisons.csv","primary_ratio_conf_low","numeric","Lower exponentiated 95% confidence bound for the primary estimate."
"sensitivity_comparisons.csv","primary_ratio_conf_high","numeric","Upper exponentiated 95% confidence bound for the primary estimate."
"sensitivity_comparisons.csv","primary_q_value","numeric","BH-adjusted p-value for the matching primary estimate."
"sensitivity_comparisons.csv","primary_status","character","Completion or warning status of the matching primary model."
"sensitivity_comparisons.csv","estimate_difference_from_primary","numeric","Sensitivity estimate minus matching primary estimate on the link scale."
"sensitivity_comparisons.csv","direction_concordant","logical","Whether the sensitivity and primary link-scale estimates have the same sign."
"sensitivity_comparisons.csv","model_n","integer","Privacy-safe row count used by the sensitivity model."
"sensitivity_comparisons.csv","model_event_blocks","integer","Event-block random-effect levels represented in the sensitivity model."
"sensitivity_comparisons.csv","model_observer_clusters","integer","Observer-cluster random-effect levels represented in the sensitivity model."
"sensitivity_comparisons.csv","model_generalized_locations","integer","Generalized-location random-effect levels represented in the sensitivity model."
"sensitivity_comparisons.csv","retained_checklists","integer","Eligible checklists retained after the outcome-blind sensitivity transformation."
"sensitivity_comparisons.csv","retained_fraction","integer","retained_checklists divided by the 217,200-checklist primary frame."
"sensitivity_comparisons.csv","changed_component","character","Exact exposure encoding or cohort component changed by the sensitivity."
"sensitivity_diagnostics.csv","analysis_version","character","Version identifier for the analysis that produced the row."
"sensitivity_diagnostics.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"sensitivity_diagnostics.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"sensitivity_diagnostics.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"sensitivity_diagnostics.csv","engine","character","Model-fitting engine, likelihood family, and approximation."
"sensitivity_diagnostics.csv","n","integer","Privacy-safe number of rows used by the fitted model; counts below 20 are suppressed."
"sensitivity_diagnostics.csv","event_blocks","integer","Number of represented leakage-control event-block random-effect levels; counts below 20 are suppressed."
"sensitivity_diagnostics.csv","observer_clusters","integer","Number of represented privacy-safe observer-cluster levels; counts below 20 are suppressed."
"sensitivity_diagnostics.csv","generalized_locations","integer","Number of represented generalized-location random-effect levels; counts below 20 are suppressed."
"sensitivity_diagnostics.csv","converged","logical","Whether the fitted model met the repository convergence classification."
"sensitivity_diagnostics.csv","singular_fit","logical","Whether one or more fitted random-effect variance components were on the boundary at tolerance 1e-4."
"sensitivity_diagnostics.csv","rank_deficient","logical","Whether the fixed-effect model matrix lost rank."
"sensitivity_diagnostics.csv","optimizer_code","integer","Native optimizer return code; zero means the optimizer completed."
"sensitivity_diagnostics.csv","convergence_message","character","Truncated optimizer or lme4 convergence message."
"sensitivity_diagnostics.csv","maximum_absolute_gradient","numeric","Maximum absolute raw derivative component reported by the fitted model."
"sensitivity_diagnostics.csv","event_block_variance","numeric","Estimated variance of the event-block random intercept."
"sensitivity_diagnostics.csv","observer_variance","numeric","Estimated variance of the observer-cluster random intercept."
"sensitivity_diagnostics.csv","location_variance","numeric","Estimated variance of the generalized-location random intercept."
"sensitivity_diagnostics.csv","residual_variance","numeric","Estimated residual variance for the log-Gaussian count model; blank for binomial models."
"sensitivity_diagnostics.csv","reproduction_max_abs_estimate_difference","logical","Maximum absolute difference from matching frozen historical component estimates."
"sensitivity_diagnostics.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"sensitivity_diagnostics.csv","sensitivity_id","character","Frozen identifier for the exposure encoding or cohort restriction."
"sensitivity_support.csv","sensitivity_id","character","Frozen identifier for the exposure encoding or cohort restriction."
"sensitivity_support.csv","retained_checklists","integer","Eligible checklists retained after the outcome-blind sensitivity transformation."
"sensitivity_support.csv","retained_fraction","integer","retained_checklists divided by the 217,200-checklist primary frame."
"sensitivity_support.csv","event_blocks","integer","Number of represented leakage-control event-block random-effect levels; counts below 20 are suppressed."
"sensitivity_support.csv","observer_clusters","integer","Number of represented privacy-safe observer-cluster levels; counts below 20 are suppressed."
"sensitivity_support.csv","generalized_locations","integer","Number of represented generalized-location random-effect levels; counts below 20 are suppressed."
"sensitivity_support.csv","transformed_event_link_total","integer","Sum of the 12 transformed joint link predictors across retained checklists."
"sensitivity_support.csv","checklists_with_transformed_links","integer","Retained checklists with at least one positive transformed exposure term."
"sensitivity_support.csv","maximum_transformed_link_total","integer","Maximum row sum of transformed joint exposure terms."
"sensitivity_support.csv","changed_component","character","Exact exposure encoding or cohort component changed by the sensitivity."
"sensitivity_support.csv","unchanged_components","character","Model components explicitly held fixed in the sensitivity."
"sensitivity_support.csv","response_fields_read_for_transform","integer","Count of response fields used to define the outcome-blind transformation; required to be zero."
"link_count_outcome_support.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"link_count_outcome_support.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"link_count_outcome_support.csv","term","character","Joint period-by-zone exposure predictor name."
"link_count_outcome_support.csv","zone","character","Frozen spatial zone: near 0 to <5 km or reference 5 to 20 km."
"link_count_outcome_support.csv","period","character","Frozen event-study temporal period."
"link_count_outcome_support.csv","link_count","integer","Exact additive source-event-link count for the named term."
"link_count_outcome_support.csv","checklist_rows","integer","Eligible rows at the exact link count; suppressed below 20."
"link_count_outcome_support.csv","reported_checklists","integer","Eligible linked checklists reporting the species; counts below 20 are suppressed."
"link_count_outcome_support.csv","reporting_proportion","numeric","Observed unadjusted reported_checklists divided by checklist_denominator."
"link_count_outcome_support.csv","positive_finite_numeric_reports","integer","Rows at the exact link count with a reported positive finite numeric count."
"link_count_outcome_support.csv","positive_finite_numeric_median","numeric","Observed median positive finite numeric count at the exact link count."
"link_count_outcome_support.csv","unquantified_x_reports","integer","Reported occurrences stored as unquantified X; counts below 20 are suppressed."
"link_count_outcome_support.csv","suppressed_below_20","logical","Whether the applicable cell was suppressed for having fewer than 20 rows."
"link_count_outcome_support.csv","observed_unadjusted","logical","TRUE when the row is a descriptive, unadjusted summary."
"family_timing_summary.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"family_timing_summary.csv","comparison","character","Compound timing contrast: A14 active-minus-pre14 or secondary A7 active-minus-pre7."
"family_timing_summary.csv","family_species","integer","Species rows in the frozen inferential family."
"family_timing_summary.csv","estimable_species","integer","Species with finite compound estimate and standard error."
"family_timing_summary.csv","completed_species","integer","Species whose model status begins with completed."
"family_timing_summary.csv","failed_or_unsupported_species","integer","Species without a finite compound estimate."
"family_timing_summary.csv","singular_warning_species","integer","Completed species models carrying a singular-fit warning."
"family_timing_summary.csv","convergence_warning_species","integer","Completed species models carrying a convergence warning."
"family_timing_summary.csv","positive_estimates","integer","Finite compound estimates above zero."
"family_timing_summary.csv","negative_estimates","integer","Finite compound estimates below zero."
"family_timing_summary.csv","bh_q_lt_0_05","integer","Finite estimates with BH q-value below 0.05."
"family_timing_summary.csv","bh_positive","integer","BH-significant estimates above zero."
"family_timing_summary.csv","bh_negative","integer","BH-significant estimates below zero."
"family_timing_summary.csv","median_link_estimate","numeric","Median finite compound estimate on the link scale."
"family_timing_summary.csv","q25_link_estimate","numeric","First quartile of finite compound estimates on the link scale."
"family_timing_summary.csv","q75_link_estimate","numeric","Third quartile of finite compound estimates on the link scale."
"family_timing_summary.csv","dependence_aware_family_test","character","Disposition of the cross-species dependence-aware family test."
"completion_failure_log.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"completion_failure_log.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"completion_failure_log.csv","model_components","integer","Number of species-by-outcome model components in the status group."
"completion_failure_log.csv","analysis_group","character","Primary/finite-X family or named sensitivity to which the status count applies."
"analysis_status.csv","requested_analysis","character","Editorial-requested analysis component."
"analysis_status.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"analysis_status.csv","exact_input_and_model","character","Concise specification of the exact input, transformation, and model."
"analysis_status.csv","estimand","character","Quantity targeted by the requested analysis."
"analysis_status.csv","sample_and_event_support","character","Verified or referenced checklist, species, event, or block support."
"analysis_status.csv","output_path","character","Repository-relative artifact path."
"analysis_status.csv","qa_status","character","QA disposition for the row or requested analysis."
"analysis_status.csv","principal_caveat","character","Most important limitation on interpretation."
"analysis_status.csv","could_change_manuscript_wording","character","Whether the component could materially affect manuscript wording."
"engine_validation_results.csv","analysis_version","character","Version identifier for the analysis that produced the row."
"engine_validation_results.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"engine_validation_results.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"engine_validation_results.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"engine_validation_results.csv","comparison","character","Compound timing contrast: A14 active-minus-pre14 or secondary A7 active-minus-pre7."
"engine_validation_results.csv","primary_comparison","logical","TRUE for the frozen primary A14 comparison."
"engine_validation_results.csv","active_estimate","numeric","Duration-weighted active-period baseline-adjusted near/reference estimate on the link scale."
"engine_validation_results.csv","active_standard_error","numeric","Standard error of active_estimate from the full fixed-effect covariance matrix."
"engine_validation_results.csv","pre_estimate","numeric","Pre-onset baseline-adjusted near/reference estimate on the link scale."
"engine_validation_results.csv","pre_standard_error","numeric","Standard error of pre_estimate from the full fixed-effect covariance matrix."
"engine_validation_results.csv","active_pre_covariance","numeric","Estimated covariance between the active and pre compound contrasts."
"engine_validation_results.csv","estimate","numeric","Compound contrast estimate on the fitted link scale, or the named absolute prediction quantity."
"engine_validation_results.csv","standard_error","numeric","Standard error of estimate."
"engine_validation_results.csv","conf_low","numeric","Lower bound of the two-sided 95% confidence interval."
"engine_validation_results.csv","conf_high","numeric","Upper bound of the two-sided 95% confidence interval."
"engine_validation_results.csv","ratio","numeric","Exponentiated link-scale contrast estimate."
"engine_validation_results.csv","ratio_conf_low","numeric","Lower 95% confidence bound after exponentiation."
"engine_validation_results.csv","ratio_conf_high","numeric","Upper 95% confidence bound after exponentiation."
"engine_validation_results.csv","p_value","numeric","Two-sided Wald p-value; blank when the model or contrast is not estimable."
"engine_validation_results.csv","q_value","logical","Benjamini-Hochberg adjusted p-value within the stated outcome-by-comparison family."
"engine_validation_results.csv","n","integer","Privacy-safe number of rows used by the fitted model; counts below 20 are suppressed."
"engine_validation_results.csv","full_covariance_used","logical","Whether all fixed-effect variance and covariance terms were used for the compound contrast."
"engine_validation_results.csv","status","character","Completion, warning, failure, support, or feasibility classification."
"engine_validation_results.csv","engine","character","Model-fitting engine, likelihood family, and approximation."
"engine_validation_results.csv","primary_estimate","numeric","Matching primary A14/A7 link-scale estimate."
"engine_validation_results.csv","primary_standard_error","numeric","Standard error of the matching primary estimate."
"engine_validation_results.csv","primary_conf_low","numeric","Lower 95% confidence bound for the matching primary estimate."
"engine_validation_results.csv","primary_conf_high","numeric","Upper 95% confidence bound for the matching primary estimate."
"engine_validation_results.csv","primary_ratio","numeric","Exponentiated matching primary estimate."
"engine_validation_results.csv","primary_q_value","numeric","BH-adjusted p-value for the matching primary estimate."
"engine_validation_results.csv","estimate_difference_from_primary","numeric","Sensitivity estimate minus matching primary estimate on the link scale."
"engine_validation_results.csv","direction_concordant","logical","Whether the sensitivity and primary link-scale estimates have the same sign."
"engine_validation_diagnostics.csv","analysis_taxon_id","character","Privacy-safe stable analysis taxon token; not an eBird record identifier."
"engine_validation_diagnostics.csv","species","character","English common name under the frozen v2025 taxonomy crosswalk."
"engine_validation_diagnostics.csv","outcome","character","Modeled observation process: checklist reporting, conditional positive numeric count, or finite numeric versus X."
"engine_validation_diagnostics.csv","engine","character","Model-fitting engine, likelihood family, and approximation."
"engine_validation_diagnostics.csv","n","integer","Privacy-safe number of rows used by the fitted model; counts below 20 are suppressed."
"engine_validation_diagnostics.csv","event_blocks","integer","Number of represented leakage-control event-block random-effect levels; counts below 20 are suppressed."
"engine_validation_diagnostics.csv","observer_clusters","integer","Number of represented privacy-safe observer-cluster levels; counts below 20 are suppressed."
"engine_validation_diagnostics.csv","generalized_locations","integer","Number of represented generalized-location random-effect levels; counts below 20 are suppressed."
"engine_validation_diagnostics.csv","optimizer_code","integer","Native optimizer return code; zero means the optimizer completed."
