"requested_analysis","status","exact_input_and_model","estimand","sample_and_event_support","output_path","qa_status","principal_caveat","could_change_manuscript_wording"
"Nearest-event sensitivity","partial","One closest modeled-window source-event link per checklist","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
"Cap-8 sensitivity","partial","All 12 joint counts capped at frozen pooled p95=8","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
"Complete single-event family","partial","Checklists with concurrent_links=1","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
"Stationary-only sensitivity","partial","Stationary eligible checklists; invariant protocol retained as dropped column","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
"High-precision 2-km sensitivity","partial","Frozen high_precision_2km eligibility flag","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
"Observer four-cell restriction","partial","Observer clusters represented in near, reference, pre, and active marginal cells","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
"Event-block four-cell-20 restriction","partial","Event blocks with >=20 checklists in each near, reference, pre, and active marginal cell","Stability of A14 under frozen exposure/cohort change","See sensitivity_support.csv","sensitivity_comparisons.csv; sensitivity_support.csv","SEE_COMPONENT_OUTPUT","Sensitivity is exploratory and retains failures/nulls","yes"
"Alternative near/reference radii","infeasible","No event-study alternative radius frozen before response inspection","Not defined","No frozen alternative","docs/editorial_requested_analysis_handoff.md","NOT_DEFINED","Inventing a radius after outcomes would be outcome-dependent","no"
"Taxonomic crosswalk and affected-year audit","existing","v2025 crosswalk plus archived annual gull support audit","Taxonomic stability","Archived through 2025","diagnostics/D7_taxonomy.md","PASS_EXISTING","No outcome-dependent remapping","yes"
"Additive-link linearity audit","completed","Term-specific observed outcome support by exact additive link count; binary/cap encodings","Support for linear per-link encoding","49 species x 12 terms; cells <20 suppressed","link_count_outcome_support.csv; sensitivity_comparisons.csv","PASS","Sparse multiple-link tails limit nonlinear assessment","yes"
"Shifted-onset placebo","infeasible","Frozen +/-28-day link window and concurrent spawning audit","A14 under uncontaminated false onset","No uncontaminated shift identified","docs/editorial_requested_analysis_handoff.md","INFEASIBLE_BY_DESIGN","Any admissible shift overlaps real/concurrent spawning or leaves frozen window","yes"
"Event-block influence","partial","Outcome-blind block support distribution only","Sensitivity of representative A14 to block removal","58-block support summarized","event_block_influence_support.csv","SUPPORT_ONLY","Potential is not a leave-one-block-out result","yes"
"Event-block bootstrap","infeasible","At least 999 shared block resamples required by frozen specification","Block-resampled A14 uncertainty preserving cross-species dependence","Not attempted after higher-priority compute","docs/editorial_requested_analysis_handoff.md","NOT_ATTEMPTED","No interval may be reported without >=90% of 999 fits","yes"
