"model_id","estimand_id","module_id","priority","model_family","level","response_class","candidate_engine","status","evidence_family","model_role","multiplicity_family","evidence_categories","omnibus_holm_over_45","latent_pilot_choice_group","independent_evidence_object_count","selected_together_as_independent_primary_evidence"
"M34","E09","G02","supporting","null adjusted cooccurrence","species_pair","codetection_association","permutation","registered_not_fitted","community_conditional_cooccurrence","visible_supporting","hierarchical_or_blocked_family","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M35","E09","G03","core","detection first JSDM or GLLVM","community","detection_matrix","gllvm_or_validated_jsdm","registered_not_fitted","community_conditional_cooccurrence","mutually_exclusive_primary_alternative_selected_by_one_latent_pilot","hierarchical_family_inference","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,"community_latent_primary_choice",1,FALSE
"M36","E09","G05","supporting","differential residual association","community","residual_association","latent_factor_contrast","registered_not_fitted","community_conditional_cooccurrence","visible_supporting","hierarchical_or_blocked_family","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M37","E09","G05","exploratory","mixed species network","community","association_network","network_analysis","registered_not_fitted","community_conditional_cooccurrence","visible_supporting","hierarchical_or_blocked_family","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M38","E15","E02","core","bird weighted distance and concentration","guild_or_species","distance_concentration","weighted_summary_model","registered_not_fitted","event_time_distance","visible_supporting","BH_within_coherent_species_family","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M39","E15","B05","supporting","upper tail flock size","guild_or_species","exceedance_or_quantile","quantile_or_binomial","registered_not_fitted","registered_sensitivity_or_generalization","sensitivity","none_model_level","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M40","E10","J03","diagnostic","observer richness and reporting","observation_process","richness_and_reporting","count_or_binomial","registered_not_fitted","diagnostic_or_falsification","diagnostic_not_competing","diagnostic_family_separate","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M41","E12","I03","exploratory","behaviour and age sex substudy","species","behaviour_composition","binomial_or_multinomial","registered_not_fitted","registered_sensitivity_or_generalization","sensitivity","none_model_level","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M42","E10","J04","diagnostic","comment awareness exclusion","observation_process","awareness_sensitivity","matched_core_engine","registered_not_fitted","diagnostic_or_falsification","diagnostic_not_competing","diagnostic_family_separate","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M43","E11","I02","supporting","section year distributed lag","guild_or_species","seasonal_index","distributed_lag_model","registered_not_fitted","registered_sensitivity_or_generalization","sensitivity","none_model_level","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M44","E14","K04","exploratory","dense site dynamic occupancy","guild_or_species","latent_use_or_occupancy","state_space_or_occupancy","registered_not_fitted","registered_sensitivity_or_generalization","sensitivity","none_model_level","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
"M45","E07","F01","supporting","event isolation and dilution","guild_or_species","detection_and_count_modifier","glmmTMB","registered_not_fitted","registered_sensitivity_or_generalization","sensitivity","none_model_level","strongly_supported|supported_with_qualifications|mixed|not_supported|contradicted|not_estimable",FALSE,,,FALSE
