ID,Priority,Analysis,Outcome,Technical plan,Lay summary
F01,core,Regional allocation model,"share of birds in near, middle, and far zones",Multinomial or Dirichlet-multinomial model conditional on the regional observed total.,Tests whether birds are redistributed toward spawn even when total regional numbers stay similar.
F02,core,Near–far–total mass balance,"near count, far count, regional total",Joint or stacked models with common event-day risk sets.,Separates local concentration from a broader regional influx.
F03,core,Repeated-locality panel,same locality across exposed and unexposed dates/years,"Locality fixed effects, year/calendar controls, and event clustering.","Compares a place with itself, reducing bias from some sites always having more birds."
F04,core,Same-observer matched analysis,same observer across roles/periods,Observer-stratified conditional models or fixed effects.,Reduces differences caused by some birders being more skilled or more likely to visit spawn.
F05,supporting,Stacked difference-in-differences,active vs comparison location changes,Event-specific risk sets with pre-trend checks and event-cluster bootstrap.,Asks whether active shorelines changed more than similar shorelines on the same dates.
F06,exploratory,Synthetic-control event studies,dense sites with donor pools,Weighted donor locations or matrix-completion methods for very well-observed events.,Builds a custom ‘what would have happened without spawn’ comparison for the best-monitored places.
G01,core,Raw pairwise co-occurrence,same-checklist species pairs,"Jaccard, phi, odds ratios, conditional detection, and count correlations by phase and distance.","Identifies which species tend to be reported together, while recognizing that one checklist is not proof of one mixed flock."
G02,core,Null-adjusted co-occurrence,observed minus expected pair association,"Permutation/null models preserving species prevalence, checklist richness, location, date, and effort strata.",Checks whether species occur together more often than expected just because both are common.
G03,core,Detection JSDM/GLLVM,multispecies detection matrix,Species-specific herring/effort effects plus multiple latent factors and residual association matrices.,Separates shared responses to spawn and habitat from leftover species associations.
G04,supporting,Abundance JSDM,multispecies reported-count matrix,"Count-capable latent-variable model for a reduced, well-supported species set.",Tests whether flock sizes of different species rise and fall together after adjustment.
G05,core,Phase- and distance-specific association networks,change in residual association,"Compare pre, active, egg, and post networks and inner/outer distance zones.",Tests whether mixed-species gatherings become more tightly connected during spawn.
G06,supporting,Community composition model,species-by-checklist composition,GLLVM plus constrained ordination/PERMANOVA as a transparent benchmark.,"Asks whether the whole bird community changes, even when total bird numbers do not."
H01,core,Spawn intensity components,"Surface, Macrocystis, Understory, length, width",Component-specific modifiers with missingness indicators and method interactions.,Tests whether stronger or more extensive spawn records draw larger responses without treating missing measurements as zero.
H02,supporting,Latent/measurement-error intensity,uncertain underlying spawn magnitude,Bayesian measurement model or multiple-indicator latent score.,Combines imperfect herring measures while keeping their uncertainty visible.
H03,supporting,Source event vs event complex,alternative event definitions,Repeat core models using source rows and adjacency-based event complexes.,Checks whether one biological spawn was split into several database records.
I01,supporting,Phenological ‘silver wave’,latitude × event date × bird response,Spatiotemporal GAM/hierarchical migration model.,Tests whether mobile birds track the northward progression of spawning.
I02,exploratory,Interannual and lagged response,annual bird metrics vs current/lagged spawn,Region-year time-series model with effort standardization and autocorrelation.,Looks for broader food-web effects that persist beyond the immediate event.
I03,exploratory,Age/sex and behaviour-code response,demographic/behaviour subsets,Descriptive and hierarchical models only where reporting is sufficiently complete.,Explores whether particular age groups or feeding behaviours are especially associated with spawn.
J01,core diagnostic,Birder visitation model,"checklists, unique observers, observer continuity",Event-area submission allocation and repeated-observer choice models.,Measures whether birders—not only birds—shift toward active spawn.
J02,diagnostic,Count reporting model,numeric vs X/unquantified,"Model count availability among detections by exposure, observer, species, and flock size proxies.",Checks whether big spawn flocks are more likely to be reported as X instead of a number.
J03,diagnostic,Checklist richness/detection process,all-bird checklist richness,"Model whether conspicuous aggregations change search duration, reporting completeness, or detection of unrelated taxa.",Checks whether seeing a huge flock makes observers notice or report more species overall.
J04,exploratory diagnostic,Comment/behaviour text audit,local-only keyword flags,"Privacy-safe local text mining for spawn, roe, feeding, and mixed-flock terms; no public quotes or identifiers.",Uses observers’ notes only as supporting evidence and never exposes personal or exact-location information.
K01,diagnostic,False-date placebos,shifted event dates,"Repeat core contrasts at ±14, ±28, and matched random dates.",A true spawn signal should weaken when the event date is deliberately wrong.
K02,diagnostic,False-location placebos,shifted or nonspawn shorelines,Geographically plausible placebo exposures and no-recorded-spawn years.,A true spatial signal should be stronger at real spawn shorelines than at fake ones.
K03,diagnostic,Falsification taxa,species without a verified mechanism,Separate habitat-matched falsification models; never force a triple difference without exchangeability.,"Checks for broad seasonal artifacts, while admitting that no control species is perfect."
K04,validation,Blocked prediction and stability,"held-out events, years, regions, localities","Leave-event/year/region-out validation, spatial blocks, influence deletion, and posterior predictive checks.",Tests whether conclusions survive new places and years rather than only fitting the data already seen.
K05,validation,Prospective holdout,future eBird releases and new spawn events,Freeze the model now and evaluate later data without changing it.,Provides the strongest future confirmation because Version 2 is designed after seeing Version 1 results.
L01,synthesis,Species-to-guild hierarchy,species-specific effect estimates,Second-stage multivariate meta-analysis with traits and cross-species covariance.,Summarizes the average guild response without hiding species that behave differently.
L02,synthesis,Region meta-analysis,region-specific effects,Hierarchical partial pooling or multivariate meta-analysis across stock regions.,Shows whether the relationship is general or mainly a Strait of Georgia phenomenon.
L03,synthesis,Evidence triangulation dashboard,all compatible estimands,"Direction, magnitude, uncertainty, predictive performance, and placebo evidence summarized without averaging incompatible outcomes.",Combines many analyses into one transparent conclusion instead of selecting the most favourable model.
