model_id,priority,model_family,level,response,scientific_question,unit,design_terms,candidate_engine,supports_hypothesis_if,main_limitations,status
M21,exploratory,GLLVM community model,community,species detection/count matrix,Does community composition reorganize?,checklist × species,latent factors plus species-specific event effects and nuisance terms,gllvm,community shift toward target guilds,computational complexity; avoid rank-one context,registered_not_fitted
M22,exploratory,partial ordination/PERMANOVA,community,transformed count composition,Is multivariate composition associated with spawn exposure?,checklist,partial dbRDA/PERMANOVA with event/calendar strata,vegan,significant composition shift with interpretable taxa loadings,permutation design and unequal dispersion,registered_not_fitted
M23,exploratory,silver-wave phenology model,species/guild,count/detection or peak timing,Do birds track latitudinal spawn progression?,event/latitude/date,latitude × event date × exposure; region random slopes,mgcv/brms,bird peak follows local spawn rather than fixed calendar only,migration and latitude confounding,registered_not_fitted
M24,supporting,stacked difference-in-differences event study,species/guild,count/detection,Do active locations change more than simultaneous comparison locations?,stacked event-location-period,event stack FE; location and calendar controls; non-overlapping periods,fixest,positive active-area interaction and negative/flat comparison change,no recorded spawn is not verified absence,registered_not_fitted
M25,exploratory,generalized synthetic control,species/guild,aggregated count/detection rate,Can well-observed spawn sites be compared with weighted donor sites?,location-week,interactive fixed effects / matrix completion,gsynth/fect,post-spawn deviation above synthetic counterfactual,few high-quality sites and donor contamination,registered_not_fitted
M26,diagnostic,birder visitation process,observation process,checklists and unique observers,Does sampling shift toward active spawn?,event-area-day,checklist/observer allocation model; event-cluster bootstrap,glmmTMB/fixest,"used to qualify, not prove, bird response",choice set incomplete,registered_not_fitted
M27,diagnostic,placebo dates,all,core outcomes,Are similar effects found at false dates?,same as core,"±14, ±28, random-year shifts",same engines,true-date effect exceeds placebo distribution,seasonality,registered_not_fitted
M28,diagnostic,placebo shoreline locations,all,core outcomes,Are effects specific to spawn locations?,event-date-location,shoreline-shifted pseudo-events with matched accessibility,same engines,true-location effect exceeds placebo distribution,habitat matching,registered_not_fitted
M29,diagnostic,same-location nonspawn-year control,all,core outcomes,Does the site show the pattern in years without recorded spawn?,location-calendar-year,location × calendar matched years,fixest,effect present in spawn years but not nonspawn years,recorded absence uncertainty,registered_not_fitted
M30,supporting,coastwide region meta-analysis,species/guild,regional model effects,Are results consistent across stock regions?,region estimate,region-specific models plus random-effects synthesis,metafor/brms,positive mean with interpretable heterogeneity,unequal eBird coverage,registered_not_fitted
M31,validation,prospective holdout,all,core outcomes,Do frozen models predict future events/years?,future event/checklist,fit through 2025; evaluate later DFO/eBird releases,same engines,predeclared positive effects in new data,future data unavailable now,registered_not_fitted
M32,diagnostic,count-missingness model,species/guild,numeric vs X/unquantified among detections,Is count availability exposure-dependent?,detected checklist,binomial mixed model for numeric-count availability,glmmTMB,no strong differential missingness; otherwise sensitivity required,X may correlate with flock size,registered_not_fitted
M33,supporting,ambiguous-guild interval count,guild,lower/upper guild count bounds,Do guild results survive taxonomic ambiguity?,checklist-guild,"fit named-only, lower-bound, and inclusive-upper-bound outcomes",same engines as M01/M03,positive effect across bounds,ambiguous reports may overlap named birds,registered_not_fitted
