model_id,estimand,historical_registered_role,stage4a_disposition,fitted,completion_failure_status,existing_result_artifact,applicable_review_issues,original_results_remain_interpretable,rerun_needed,protected_response_access_required,external_dfo_data_required,human_authorization_required,recommended_next_stage
M34,E09,supporting null-adjusted cooccurrence,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R20|R27|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M35,E09,core detection-first JSDM or GLLVM,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R10|R27|R30|R31,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M36,E09,supporting differential residual association,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R10|R27|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M37,E09,exploratory mixed-species network,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R10|R20|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M38,E15,core bird-weighted distance and concentration,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R6|R12|R25|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M39,E15,supporting upper-tail flock size,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R19|R20|R27|R31,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M40,E10,diagnostic observer richness and reporting,activated_diagnostic,true,COMPLETED_WITH_UNCLUSTERED_AND_PARTIAL_SPEC_LIMITATION,outputs/stage4a_results/diagnostic_status.csv,R2|R21|R26|R31,YES_AS_DESCRIPTIVE_PROCESS_SIGNAL,OPTIONAL_MATCHED_BLOCKED_REPAIR,YES,NO,YES,COMPLETED_WITH_LIMITATIONS
M41,E12,exploratory behaviour and age-sex substudy,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R11|R20|R30|R31,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M42,E10,diagnostic comment-awareness exclusion,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R21|R26|R31,NOT_APPLICABLE,NO,PROHIBITED_UNDER_CURRENT_AUTHORIZATION,NO,YES,BLOCKED_GOVERNANCE
M43,E11,supporting section-year distributed lag,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R27|R28|R29|R31,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,NO,YES,POST_RESULT_EXPLORATORY_ONLY
M44,E14,exploratory dense-site dynamic occupancy,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R3|R20|R26|R27|R30,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,YES_REPEAT_SURVEY_AND_COVERAGE,YES,BLOCKED_IDENTIFICATION
M45,E07,supporting event-isolation and dilution,deferred_pre_response,false,DEFERRED_REGISTERED,NONE,R3|R16|R25|R26|R27,NOT_APPLICABLE,NO,YES_IF_ACTIVATED,MODEL_SPECIFIC,YES,POST_RESULT_EXPLORATORY_ONLY
