"artifact_id","manuscript_location","source_file","source_hash","generation_script","generation_commit","filters","model_or_family_ids","caption","privacy_classification"
"Table S3","supplement","outputs/stage4a_publication_v2/event_time_table_v2.csv","8430aa17b724d3d9761f2e2c4e40a2736825994f5bbec52ba68d07935f21cd1c","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","M05","Supplementary all 160 event-time rows table.","public aggregate"
"Table S4","supplement","outputs/stage4a_publication_v2/supplementary_family_table_v2.csv","802844eb948fdb9f1d20324fbf80d291034e73f1ced2264e5341119200828172","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","Stage 4A v2","Supplementary 162 pooling families table.","public aggregate"
"Table S5","supplement","outputs/stage4a_publication_v2/supplementary_exclusion_summary_v2.csv","940c5f197f9e350c71268941f58c6b69b29c6dbe03716fde28605bb58f49d79a","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","Stage 4A v2","Supplementary pooling exclusions and NA reasons table.","public aggregate"
"Table S6","supplement","outputs/stage4a_publication_v2/singular_fit_claim_audit_v2.csv","159f429087b8d599539fb007acf33f4798fe28bd97362a249182daba237bd21c","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","Stage 4A v2","Supplementary 43 singular-fit components table.","public aggregate"
"Table S7","supplement","outputs/stage4a_publication_v2/matched_sensitivity_table_v2.csv","7b32c273a31c0dfafe2a94f692370d61760fb20f33f695853a2520b2423406fa","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","Stage 4A v2","Supplementary 64 placebo components table.","public aggregate"
"Table S8","supplement","outputs/stage4a_publication_v2/matched_sensitivity_table_v2.csv","7b32c273a31c0dfafe2a94f692370d61760fb20f33f695853a2520b2423406fa","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","Stage 4A v2","Supplementary WCVI 2-km and observer sensitivities table.","public aggregate"
"Table S9","supplement","outputs/stage4a_publication_sensitivity_v2/matched_validation_v2.csv","f2eee36ad3791c0732eb5d21991e030d9e28685265afec1e1be6efa71a9b8438","scripts/build_stage4a_manuscript_package_v2.R","WORKTREE","complete registered aggregate rows","Stage 4A v2","Supplementary four-fold validation table.","public aggregate"
"Figure S1","supplement","outputs/stage4a_publication_v2/priority_a_species_table_v2.csv","2cb8872f90453cf8342f1e937babda0aa410f67bfff17a9a20b476c70dbce7b1","R/stage4a_pooling_report_v2.R","WORKTREE","complete publication aggregate","Stage 4A v2","Priority-A species coefficients and v2 posterior summaries.","public aggregate"
"Figure S2","supplement","outputs/stage4a_publication_v2/supplementary_exclusion_summary_v2.csv","940c5f197f9e350c71268941f58c6b69b29c6dbe03716fde28605bb58f49d79a","R/stage4a_pooling_report_v2.R","WORKTREE","complete publication aggregate","Stage 4A v2","Pooling row dispositions.","public aggregate"
"Figure S3","supplement","outputs/stage4a_publication_v2/supplementary_family_table_v2.csv","802844eb948fdb9f1d20324fbf80d291034e73f1ced2264e5341119200828172","R/stage4a_pooling_report_v2.R","WORKTREE","complete publication aggregate","Stage 4A v2","Between-component heterogeneity across compatible pooling families.","public aggregate"
"Figure S4","supplement","outputs/stage4a_publication_v2/model_diagnostic_summary_v2.csv","a745734f20962adc760c775089b77beca1a759504cf16df19686d340c8d1282e","R/stage4a_publication_report_v2.R","WORKTREE","complete publication aggregate","Stage 4A v2","Model diagnostic and completion summary.","public aggregate"
