analysis_taxon_id,common_name,scientific_name,ebird_taxon_code,source_taxon_concept_ids,taxonomy_version,guild_ids,priority_tier,ecological_mechanism,evidence_strength,expected_direction,expected_timing,count_strategy,taxonomic_complications,support_status,species_model_status,guild_model_status,approval_status
atx_04afbeb21fb0,Hooded Merganser,Lophodytes cucullatus,hoomer,avibase-60E6081E,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,weaker marine mechanism,exploratory,active spawn,detection support audit,legacy excluded despite broad candidate listing,legacy_excluded_reassessment_required,not_approved,not_approved,pending_scientific_review
atx_3c2dd2107fbb,Clark's Grebe,Aechmophorus clarkii,clagre,avibase-D05FFEF7,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,insufficient legacy support,exploratory,active spawn,detection support audit,Aechmophorus ambiguity sensitivity required,legacy_excluded_reassessment_required,not_approved,not_approved,pending_scientific_review
atx_v2_000001,Eared Grebe,Podiceps nigricollis,eargre,pending,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000002,Black Oystercatcher,Haematopus bachmani,blkoys,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000003,Dunlin,Calidris alpina,dunlin,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000004,Sanderling,Calidris alba,sander,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000005,Rock Sandpiper,Calidris ptilocnemis,rocsan,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000006,Black-bellied Plover,Pluvialis squatarola,bkbplo,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000007,Common Raven,Corvus corax,comrav,pending,eBird Taxonomy v2025,shoreline_scavenger,C,shoreline scavenging,candidate mechanism,exploratory,active through post,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000008,Osprey,Pandion haliaetus,osprey,pending,eBird Taxonomy v2025,shoreline_scavenger,C,piscivorous raptor,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000009,Caspian Tern,Hydroprogne caspia,caster1,pending,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000010,Common Tern,Sterna hirundo,comter,pending,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000011,Glaucous Gull,Larus hyperboreus,glagul,pending,eBird Taxonomy v2025,gull_roe,C,roe scavenging,candidate mechanism,exploratory,spawn through eggs,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
