priority,theme,year,citation,evidence_contribution,project_relevance,analysis_consequence,url
Supporting,Herring measurement,1990,"Hay DE. Tidal influence on spawning time of Pacific Herring. CJFAS.","Examined fine-scale timing relative to tides.","Supports timing interpretation.","Does not require tide as a primary covariate.",https://doi.org/10.1139/f90-266
Core,Herring measurement,1999,"Hay DE; McCarter PB. Distribution and timing of herring spawning in British Columbia. DFO Research Document 99/14.","Long-run spatial and temporal variation across BC regions.","Supports regional heterogeneity and long-window sensitivity.","No primary expansion.",https://publications.gc.ca/collections/collection_2015/mpo-dfo/Fs70-1-1999-14-eng.pdf
Essential,Herring measurement,2009,"Hay DE et al. Spatial diversity of Pacific Herring spawning areas. ICES Journal of Marine Science 66:1662-1666.","Quantified change in spatial footprint and diversity across BC.","Supports shoreline geometry and partial pooling.","Supports locked design.",https://doi.org/10.1093/icesjms/fsp139
Supporting,Herring measurement,2014,"Shelton AO et al. Habitat limitation and spatial variation in Pacific Herring egg survival. MEPS.","Egg survival varied spatially and with habitat conditions.","Equal extent need not imply equal availability.","Interpretive caveat only.",https://doi.org/10.3354/meps10941
Essential,Herring measurement,2021,"Qi L et al. Satellite remote sensing of Herring spawning events. Geophysical Research Letters 48:e2020GL092126.","Some milt plumes and extents can be detected from satellite imagery.","Supports independent event validation.","Optional validation; not primary response data.",https://doi.org/10.1029/2020GL092126
Essential,Herring measurement,2021,"McGowan DW et al. Multi-decadal shifts in Pacific Herring spawning in Prince William Sound. CJFAS.","Documented changes in where and when spawning occurred.","Supports nonstationary exposure geography and phenology.","Interpretive support for regional sensitivity.",https://doi.org/10.1139/cjfas-2021-0047
Core,Herring measurement,2022,"Schweigert JF. Synopsis of the development of dive surveys for Pacific Herring spawn in BC. DFO.","Documents modern dive-survey observation process.","Supports survey-era boundary.","Measurement guardrail.",https://publications.gc.ca/collections/collection_2022/mpo-dfo/Fs97-4-3234-eng.pdf
Essential,Herring measurement,2023,"Grinnell MH et al. Calculating the spawn index for Pacific Herring in British Columbia. Technical Report 3489.","Current official equations observation types aggregation uncertainties and caveats.","Primary exposure-method citation.","Required citation; no model expansion.",https://publications.gc.ca/site/eng/9.912189/publication.html
Essential,Herring measurement,2024,"Rooper CN et al. Evaluating factors affecting distribution and timing of Pacific Herring spawn in BC. MEPS 741:251-269.","Modern 1988-2018 dive-era spatial and temporal model.","Supports regional and phenological heterogeneity.","Supports locked sensitivities.",https://doi.org/10.3354/meps14274
Core,Herring measurement,2024,"Schweigert JF et al. Biological synopsis of Pacific Herring in support of marine risk assessment. DFO.","Official life-history stock-structure and ecology synthesis.","Authoritative background.","Citation only.",https://publications.gc.ca/collections/collection_2024/mpo-dfo/fs97-4/Fs97-4-3274-eng.pdf
Guardrail,Herring measurement,2026,"Government of Canada. Pacific Herring Spawn Index Data.","Official relative-index definition and availability fields.","Dataset citation and exposure guardrail.","Retain relative-index language.",https://open.canada.ca/data/en/dataset/d892511c-d851-4f85-a0ec-708bc05d2810
Core,eBird inference,2009,"Sullivan BL et al. eBird: a citizen-based bird observation network in the biological sciences. Biological Conservation 142:2282-2292.","Describes checklist system validation and applications.","Foundational data-source citation.","Citation only.",https://doi.org/10.1016/j.biocon.2009.05.006
Supporting,eBird inference,2010,"Fink D et al. Spatiotemporal exploratory models for broad-scale survey data. Ecological Applications 20:2131-2147.","Flexible spatiotemporal modeling framework.","Precedent for dynamic distributions.","Not the event-scale primary model.",https://doi.org/10.1890/09-1340.1
Essential,eBird inference,2018,"Johnston A et al. Estimates of observer expertise improve species distributions from citizen science data. Methods in Ecology and Evolution 9:88-97.","Observer expertise affected detectability and prediction.","Justifies observer heterogeneity.","Supports locked observation model.",https://doi.org/10.1111/2041-210X.12838
Essential,eBird inference,2019,"Kelling S et al. Using semistructured surveys to improve citizen science data for monitoring biodiversity. BioScience 69:170-179.","Observation-process metadata make semistructured checklists analytically useful.","Supports complete checklists rather than presence-only records.","Supports locked filters.",https://doi.org/10.1093/biosci/biz010
Supporting,eBird inference,2020,"Fink D et al. Modeling avian full annual cycle distribution and population trends with citizen science data. Ecological Applications 30:e02056.","Large-scale dynamic distribution and trend estimation.","Demonstrates capability at a different scale.","Context only.",https://doi.org/10.1002/eap.2056
Supporting,eBird inference,2020,"Robinson OJ et al. Integrating citizen science data with expert surveys increases accuracy and spatial extent of species distribution models. Diversity and Distributions.","Joint models improved inference when observation processes were retained.","Supports separate-stream validation not naive pooling.","No pooling without provenance.",https://doi.org/10.1111/ddi.13068
Essential,eBird inference,2021,"Johnston A et al. Analytical guidelines to increase the value of community science data. Diversity and Distributions 27:1265-1277.","Complete checklists effort covariates spatial balancing and validation improved estimates.","Primary analytical guidance for EBD/SED.","Supports locked workflow.",https://doi.org/10.1111/ddi.13271
Essential,eBird inference,2021,"Tang B; Clark JS; Gelfand AE. Modeling spatially biased citizen science effort through the eBird database. Environmental and Ecological Statistics 28:609-630.","Models visited locations and effort.","Warns about preferential visits to conspicuous spawn events.","Diagnostic and interpretation guardrail.",https://doi.org/10.1007/s10651-021-00508-1
Supporting,eBird inference,2022,"Schindler AR et al. Joint analysis of structured and semi-structured community science data. Scientific Reports 12:20289.","Joint analysis improved abundance precision but not trends uniformly.","Integration gains are estimand-specific.","Do not assume universal benefit.",https://doi.org/10.1038/s41598-022-23603-0
Supporting,eBird inference,2023,"Fink D et al. A double machine learning trend model for citizen science data. Methods in Ecology and Evolution 14:2435-2448.","Addresses interannual confounding in flexible sampling.","Useful trend context and diagnostic precedent.","Unnecessary for locked event model.",https://doi.org/10.1111/2041-210X.14186
Essential,eBird inference,2023,"Hochachka WM; Ruiz-Gutierrez V; Johnston A. Considerations for fitting occupancy models to data from eBird and similar volunteer-collected data. Ornithology 140:ukad035.","Pseudo-repeats can bias occupancy and added single visits can worsen bias when detection is low.","Defines limits of occupancy interpretation.","Keep the primary estimand as checklist encounter.",https://doi.org/10.1093/ornithology/ukad035
Core,eBird inference,2022,"Stuber EF et al. Validating the performance of eBird against targeted avian monitoring efforts. Biological Conservation 270:109556.","Compares eBird estimates with targeted monitoring.","Performance depends on species and decision context.","Use external validation without assuming equivalence.",https://doi.org/10.1016/j.biocon.2022.109556
Guardrail,eBird inference,2022,"Grade AM et al. Sampling bias in community science: a case study with eBird. PLOS ONE 17:e0277223.","Uneven participation and site access can induce sample-selection bias.","Motivates a response-blind support audit.","Report checklist and unique-observer support by frozen exposure cells.",https://doi.org/10.1371/journal.pone.0277223
Supporting,eBird inference,2021,"Feng MLE et al. Comparing the reliability of relative bird abundance indices from standardized surveys and community science. PLOS ONE 16:e0257226.","eBird relative abundance reliability varies by species and setting.","Reinforces relative-index interpretation.","Validate species-specific performance.",https://doi.org/10.1371/journal.pone.0257226
Supporting,eBird inference,2026,"Robinson OJ et al. Same view through a different lens: comparing population trends using eBird and the Breeding Bird Survey. Ornithological Applications 128:duaf077.","Large cross-survey comparison shows agreement is not automatic.","Structured surveys are external benchmarks rather than duplicate confirmation.","Interpret cross-source agreement by species and region.",https://doi.org/10.1093/ornithapp/duaf077
Essential,Regional bird baseline,2009,"Bower JL. Changes in marine bird abundance in the Salish Sea: 1975 to 2007. Marine Ornithology 37:9-17.","Long-run regional marine-bird change.","Contextualizes event responses against older baselines.","No adjustment variable.",https://marineornithology.org/
Core,Regional bird baseline,2012,"Crewe T et al. Coastal waterbird population trends in the Strait of Georgia 1999-2011. British Columbia Birds 22:8-39.","Structured BCCWS route trends and power analysis.","Regional benchmark.","Use as literature; deduplicate before raw integration.",https://bcbirds.bcfo.ca/volume-22-3/
Essential,Regional bird baseline,2020,"Ethier D et al. Twenty years of coastal waterbird trends in British Columbia. Avian Conservation and Ecology 15(2):20.","Species- and region-specific coastal trends.","Separates event response from long-run redistribution.","Context and external benchmark.",https://doi.org/10.5751/ACE-01711-150220
Essential,Regional bird baseline,2024,"de Zwaan DR et al. Occupancy trends of overwintering coastal waterbird communities. Global Change Biology 30:e17178.","Guild-specific redistribution and shifting protected-area reliance.","Supports region-specific baselines and no forced coastwide effect.","Supports locked hierarchy.",https://doi.org/10.1111/gcb.17178
Essential,Regional bird baseline,2026,"Ethier D et al. Modeling coastal waterbird trends in transboundary Salish Sea waters. MEPS.","Integrates BC and Washington structured surveys at multiple scales.","Current regional benchmark.","Context and external comparison.",https://doi.org/10.3354/meps15161
Essential,Coastal eBird application,2026,"Hart KA et al. Seabird responses to altered marine vessel activity during the COVID-19 anthropause. Science of the Total Environment 1015:181456.","Combined AIS and eBird for 35 seabird species at 44 BC sites.","Closest recent BC coastal eBird application.","Supports feasibility; warns about vessel heterogeneity.",https://doi.org/10.1016/j.scitotenv.2026.181456
Supporting,Resource-pulse theory,2008,"Yang LH et al. What can we learn from resource pulses? Ecology 89:621-634.","Synthesizes behavioral numerical and community responses.","Vocabulary for aggregation versus demography.","Interpretation only.",https://pubmed.ncbi.nlm.nih.gov/18459327/
Supporting,Resource-pulse theory,2010,"Yang LH et al. A meta-analysis of resource pulse-consumer interactions. Ecological Monographs 80:125-151.","Response magnitude lag and duration vary among pulses and consumers.","Supports species heterogeneity and short aquatic lags.","No new covariate.",https://doi.org/10.1890/08-1996.1
Supporting,Resource-pulse theory,2011,"Cury PM et al. Global seabird response to forage fish depletion. Science 334:1703-1706.","Seabird breeding success became less reliable below prey thresholds across systems.","Broad forage-fish importance.","Not a direct spawn-event analogue.",https://doi.org/10.1126/science.1212928
Supporting,Resource-pulse theory,2016,"Armstrong JB et al. Resource waves: phenological diversity enhances foraging opportunities for mobile consumers. Ecology 97:1099-1112.","Formalizes mobile tracking of shifting resource phenology.","Conceptual bridge to the silver wave.","Interpretation only.",https://doi.org/10.1890/15-0554.1
Supporting,Resource-pulse theory,2021,"Abrahms B et al. Emerging perspectives on resource tracking and animal movement ecology. Trends in Ecology and Evolution.","Synthesizes dynamic resource tracking.","Modern redistribution framing.","Interpretation only.",https://pubs.usgs.gov/publication/70229129
Guardrail,Data provenance,2025,"Birds Canada. NatureCounts and eBird.","NatureCounts users can automatically export app checklists to eBird.","Establishes a duplicate-record pathway.","Require checklist crosswalk before raw BCCWS integration.",https://learn.birdscanada.org/additional-resources/naturecounts/naturecountsapp/naturecounts-and-ebird/
Guardrail,Data provenance,2026,"Birds Canada. NatureCounts dataset catalogue: British Columbia Coastal Waterbird Survey.","Confirms BCCWS as a separately maintained structured checklist dataset.","Potential validation stream with overlap risk.","Keep separate unless deduplicated.",https://www.birdscanada.org/birdmon/default/datasets.jsp?switchlang=EN
