issue_id,original_claim,scientific_status,implementation_status,exact_existing_files,exact_existing_functions,exact_existing_tests,active_stage4a_code_path,stage4a_relevance,potential_stage4a_result_impact,prospective_relevance,required_action,human_decision_required,external_data_required,evidence,notes
R14,"Missing zero-fill eligibility silently defaults every checklist to eligible",CONFIRMED,NOT_USED_BY_STAGE4A,"R/ebird_ingestion.R; R/stage4a_core.R","zero_fill_taxa; stage4a_materialize_taxon",eBird ingestion and Stage 4A factorization tests,NO,"The generic helper fails open but Stage 4A used a separate locked factorized materializer over an already eligible event frame",NO_STAGE4A_IMPACT,"Relevant to future denominator paths",historical implementation repair,NO,NO,"zero_fill_taxa currently defaults to TRUE when the field is absent; Stage 4A never calls it","Require exact binary eligibility and complete unique IDs"
R15,"Duplicate natural event IDs must be rejected as duplicate biological events",REFRAMED,PARTIALLY_IMPLEMENTED,"R/herring_event_engineering.R; scripts/Stage3Phase2SupportAudit.cs","stable_event_id; stable_source_record_id; derive_herring_event_fields; ReadHerringSourcePointMetadata",Herring engineering fixture tests,NO,"Stage 4A uses immutable source-row-derived tokens rather than event_id; generic code should require source-record identity but must not reject legitimate repeated natural keys",NO_STAGE4A_IMPACT,"Relevant to future event grouping",historical implementation repair,YES,NO,"Stage 3 tokens include source row and source metadata; no Stage 4A collapse by event_id occurs","Biological event grouping requires an explicit crosswalk"
R16,"A 20 km candidate radius truncates a 10 km exponential kernel at material weight",CONFIRMED,NOT_USED_BY_STAGE4A,"R/exposure_surfaces.R; R/spatial_linkage.R; metadata/stage4a_model_disposition_v1.csv","spatial_kernel; additive_spawn_exposure; candidate_event_links",Spatial exposure tests,NO,"Stage 4A used discrete source-point rings and no exponential or Gaussian kernel; M17 was deferred",NO_STAGE4A_IMPACT,"Future kernel models require exposure-level truncation audit",historical implementation repair,YES,NO,"No call from protected builder or production pipeline reaches generic kernel functions","Radius-only boundary weight is insufficient; compare cumulative production and wider-radius exposure"
R17,"The herring quality function names a relative index egg thickness",CONFIRMED,NOT_USED_BY_STAGE4A,"R/herring_event_engineering.R","classify_herring_quality; derive_herring_event_fields",Herring engineering fixture tests,NO,"Semantic naming defect only; active Stage 4A does not call the generic function or use intensity",NO_STAGE4A_IMPACT,"Future metadata clarity",documentation correction,NO,NO,"relative_spawn_index is passed to the egg_thickness parameter","Rename to intensity_index without changing values"
R18,"Single primary guild membership is an engineering defect",FALSE_FINDING,IMPLEMENTED_AND_CORRECT,"metadata/species_primary_guild.csv; metadata/species_mechanism_traits.csv; R/stage4a_production.R","run_stage4a_production guild aggregation",Taxonomy registry tests,YES,"Single primary membership prevents double counting in M01; multi-label mechanism traits remain separate",NO_STAGE4A_IMPACT,"Traits may support future second-stage models",no action required,NO,NO,"Exactly eight primary guilds are frozen and used once per taxon","Do not retrofit duplicate guild membership into historical results"
R19,"Richness and lower-bound counts can disagree",ALREADY_HANDLED,IMPLEMENTED_AND_CORRECT,"R/ebird_ingestion.R; docs/02_ANALYSIS_DESIGNS.md; metadata/estimand_registry.csv","guild_count_bounds",eBird ingestion tests,NO,"Expected difference between detection richness and numeric lower-bound estimands",NO_STAGE4A_IMPACT,"Retain tests and definitions",no action required,NO,NO,"X contributes to detection richness and has unknown numeric magnitude","Divergence is not a weakness"
R20,"Outcome-balanced spatiotemporal subsampling is mandatory before response models",REFRAMED,PROSPECTIVE_ONLY,"docs/02_ANALYSIS_DESIGNS.md; metadata/stage4a_model_disposition_v1.csv","none",NONE,NO,"Not part of locked Stage 4A and not required for interpretability of all models",NO_STAGE4A_IMPACT,"Optional future sensitivity with inclusion probabilities or recalibration",post-result exploratory Stage 4B proposal,YES,NO,"No such sampling was used; Stage 4A retained the complete eligible frame","Never balance outcomes without known sampling weights or recalibration"
R21,"Observer expertise must be added as a nuisance covariate",REFRAMED,PROSPECTIVE_ONLY,"metadata/prospective_confirmation_spec.yml; metadata/stage4a_model_disposition_v1.csv","none",NONE,NO,"Not in Stage 4A locked predictors; adding it now is post-result",NO_STAGE4A_IMPACT,"Possible future covariate if built from pre-period data or cross-fitting",prospective-only amendment,YES,NO,"Stage 4A uses observer clusters and prior frozen observer folds; no response-derived expertise score","Must not learn expertise from 2026-2028 outcomes"
R22,"A shared-latent preferential-sampling model must replace visitation diagnostics",REFRAMED,PARTIALLY_IMPLEMENTED,"metadata/stage4a_model_specification_matrix_v1.csv; R/stage4a_production.R; outputs/stage4a_results/diagnostic_status.csv","run_stage4a_production M26 block",NONE,YES,"Transparent M26 was authorized but its implementation reports event-block visitation counts without exposure association; it cannot support the intended bias diagnostic",SENSITIVITY_ONLY,"Joint models are optional and need a defined parameter plus identifiability simulation",post-result Stage 4A sensitivity,YES,NO,"M26 uses quasipoisson rather than registered negative binomial and has no exposure coefficient or blocked validation","Repair M26 in a new versioned diagnostic package if authorized"
R23,"Target-group background corrects DFO presence-only exposure",RETIRED_CATEGORY_ERROR,SUPERSEDED,"PR3 docs/16 advisory only","none",NONE,NO,"Presence-only SDM background for the response sampling process does not identify DFO survey-negative exposure",NO_STAGE4A_IMPACT,"None unless separately justified for another estimand",retired recommendation,NO,YES_DFO_SURVEY_EFFORT,"DFO survey effort requires observed survey coverage and outcomes","Request surveyed positive; surveyed negative; and unmonitored states instead"
R24,"The additive herring kernel is a fusion design and should be primary because another study found more power",RETIRED_UNSUPPORTED_TRANSFER,SUPERSEDED,"docs/02_ANALYSIS_DESIGNS.md; R/exposure_surfaces.R","additive_spawn_exposure",NONE,NO,"Stage 4A did not use a kernel and external power claims do not transfer identification",NO_STAGE4A_IMPACT,"Future continuous exposure remains an option on its own estimand",retired recommendation,NO,NO,"The cited design has an independently measured exposure process unlike DFO presence-only records","Do not use fusion terminology"
R25,"Near and outer controls may be affected by redistribution interference",CONFIRMED,PARTIALLY_IMPLEMENTED,"docs/01_SCIENTIFIC_FRAMEWORK.md; metadata/model_registry.csv; R/stage4a_production.R",".stage4a_fit_one M08 contrast",NONE,YES,"M08 is an active-near minus contemporaneous-reference association and does not identify unaffected controls or regional mass balance",DOCUMENTATION_ONLY,"High for M07 M08 and M45 development",post-result exploratory Stage 4B proposal,YES,NO,"Regional totals and allocation models M07 and M45 were deferred","Separate local reporting; regional allocation; and regional totals"
R26,"Spawn can change whether where and how a checklist is submitted",CONFIRMED,PARTIALLY_IMPLEMENTED,"docs/10_EBIRD_CHECKLIST_METHODS_REVIEW.md; R/stage4a_production.R","run_stage4a_production M26 M40",NONE,YES,"Stage 4A estimates reporting conditional on an eligible submitted checklist; M26 does not identify zero-submission shoreline-days",DOCUMENTATION_ONLY,"High for future visitation and submission models",post-result exploratory Stage 4B proposal,YES,NO,"No denominator of unsubmitted opportunities exists","Do not convert visitation diagnostics to weights without an observed choice set"
R27,"Common support must be audited across habitat access shoreline season latitude protocol effort observer history and DFO coverage",CONFIRMED,PARTIALLY_IMPLEMENTED,"outputs/stage3_phase2_sampling_support; outputs/stage3_phase3_validation; metadata/stage3_phase2_execution_v1.yml","Stage3Phase2SupportAudit; Stage3Phase3BlockedValidation",Stage 3 phase 2 and phase 3 tests,YES,"Protocol effort observer region time and distance support were audited; habitat access shoreline context and DFO survey coverage were not available",DOCUMENTATION_ONLY,"High before expanded models",external-data dependency,YES,YES_HABITAT_ACCESS_AND_DFO_COVERAGE,"Frozen support gates passed for SoG and conditionally for WCVI","Do not infer missing overlap dimensions from passing model fits"
R28,"Tide daylight weather and survey conditions may confound timing",PENDING_EVIDENCE,NOT_IMPLEMENTED,"docs/08_UNRESOLVED_SCIENTIFIC_DECISIONS.md; metadata/stage4a_model_disposition_v1.csv","none",NONE,NO,"Omitted time-varying conditions limit interpretation but no evidence supports a post hoc kitchen-sink repair",DOCUMENTATION_ONLY,"Potential small frozen sensitivity set",post-result exploratory Stage 4B proposal,YES,YES_IF_EXTERNAL_COVARIATES_APPROVED,"Stage 4A fixed calendar year protocol and effort but no tide weather or daylight terms","Choose only mechanistically justified covariates before reopening outcomes"
R29,"Event start end midpoint interval and biological availability are distinct",MODEL_SPECIFIC,PARTIALLY_IMPLEMENTED,"R/herring_event_engineering.R; scripts/Stage3Phase2SupportAudit.cs; metadata/stage4a_model_disposition_v1.csv","representative_event_date; ReadHerringSourcePointMetadata",Herring engineering fixture tests,YES,"Stage 4A uses a frozen representative midpoint or available endpoint and event-time bins; timing uncertainty models were deferred",DOCUMENTATION_ONLY,"Future timing sensitivity must be fixed without choosing preferred results",post-result exploratory Stage 4B proposal,YES,NO,"The protected link table was frozen from representative dates","Do not relabel a later timing choice as Stage 4A prespecified"
R30,"A 45-model registry is not a small confirmatory primary claim set",CONFIRMED,PARTIALLY_IMPLEMENTED,"metadata/model_registry.csv; metadata/stage4a_model_disposition_v1.csv; metadata/prospective_confirmation_spec.yml","stage4a_validate_disposition",Stage 4A disposition tests,YES,"Stage 4A reduced activation to a locked 12-model system but did not define a small prospective endpoint hierarchy",DOCUMENTATION_ONLY,"Critical before prospective confirmation",prospective-only amendment,YES,NO,"Thirty-two models remained deferred and M31 locked","Draft a small hierarchy and guardrails; do not activate deferred models based on favorable development results"
R31,"Response-derived nuisance quantities can leak prospective outcomes",CONFIRMED,PROSPECTIVE_ONLY,"metadata/prospective_confirmation_spec.yml; metadata/stage4a_human_scientific_authorization_v1.yml","none",NONE,NO,"No evidence that Stage 4A used holdout-derived nuisance quantities; the 2026-2028 response remains locked",NO_STAGE4A_IMPACT,"Critical for expertise sampling calibration and nuisance fitting",prospective-only amendment,YES,NO,"Current holdout rule prohibits response access and interim looks","Require pre-period construction or cross-fitting and freeze before access"
